,address,category,date,dayofweek,descript,incidntnum,location,pddistrict,resolution,time,x,y
541,0 Block of BARCELONA AV,LARCENY/THEFT,2014-12-24,Wednesday,GRAND THEFT FROM LOCKED AUTO,141086567,"{u'latitude': u'37.7802723161215', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.444497362939'}",PARK,NONE,08:00,-122.444497363,37.7802723161
542,0 Block of CAMERON WY,ASSAULT,2009-11-19,Thursday,BATTERY,91191478,"{u'latitude': u'37.7208692407802', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.387247607197'}",BAYVIEW,"ARREST, BOOKED",11:30,-122.387247607,37.7208692408
543,0 Block of PHELAN AV,LARCENY/THEFT,2011-02-14,Monday,PETTY THEFT FROM A BUILDING,110135222,"{u'latitude': u'37.7256933575703', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.452289660492'}",INGLESIDE,NONE,10:00,-122.45228966,37.7256933576
544,17TH ST / SOUTH VAN NESS AV,ROBBERY,2005-11-06,Sunday,"ROBBERY, ARMED WITH A KNIFE",51260336,"{u'latitude': u'37.7635718955939', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.417332582598'}",MISSION,NONE,21:30,-122.417332583,37.7635718956
545,24TH ST / MISSION ST,LIQUOR LAWS,2007-08-11,Saturday,MISCELLANEOUS LIQOUR LAW VIOLATION,70815221,"{u'latitude': u'37.7522391652625', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.418448186101'}",MISSION,"ARREST, BOOKED",20:50,-122.418448186,37.7522391653
546,600 Block of GEARY ST,LARCENY/THEFT,2011-05-24,Tuesday,PETTY THEFT OF PROPERTY,116068835,"{u'latitude': u'37.7865685406761', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.413988841812'}",CENTRAL,NONE,23:00,-122.413988842,37.7865685407
547,800 Block of VANNESS AV,NON-CRIMINAL,2005-03-20,Sunday,LOST PROPERTY,50323197,"{u'latitude': u'37.7831032668735', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.420996914'}",NORTHERN,NONE,22:35,-122.420996914,37.7831032669
548,MISSION ST / THERESA ST,OTHER OFFENSES,2014-03-05,Wednesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",140190387,"{u'latitude': u'37.7276368082413', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.432449401952'}",INGLESIDE,"ARREST, CITED",19:10,-122.432449402,37.7276368082
549,800 Block of MARKET ST,SECONDARY CODES,2009-05-15,Friday,DOMESTIC VIOLENCE,90506535,"{u'latitude': u'37.7850629421661', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406520987144'}",SOUTHERN,"ARREST, BOOKED",16:50,-122.406520987,37.7850629422
550,600 Block of EUCLID AV,VEHICLE THEFT,2010-07-21,Wednesday,STOLEN AUTOMOBILE,100669770,"{u'latitude': u'37.7838985857351', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.456268892937'}",RICHMOND,NONE,20:00,-122.456268893,37.7838985857
551,0 Block of NICHOLS WY,ASSAULT,2006-09-11,Monday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,60969173,"{u'latitude': u'37.7194008333885', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.387234795761'}",BAYVIEW,NONE,10:15,-122.387234796,37.7194008334
552,POLK ST / MYRTLE ST,NON-CRIMINAL,2010-06-07,Monday,"STAY AWAY OR COURT ORDER, NON-DV RELATED",100525956,"{u'latitude': u'37.7854327313929', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.419641420429'}",NORTHERN,"ARREST, BOOKED",00:14,-122.41964142,37.7854327314
553,INDUSTRIAL ST / OAKDALE AV,VEHICLE THEFT,2005-02-25,Friday,STOLEN TRUCK,50224272,"{u'latitude': u'37.739901780617', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.399686082815'}",BAYVIEW,NONE,18:00,-122.399686083,37.7399017806
554,800 Block of MARKET ST,WARRANTS,2009-02-14,Saturday,WARRANT ARREST,90165175,"{u'latitude': u'37.7852071918419', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406690592261'}",SOUTHERN,"ARREST, BOOKED",17:00,-122.406690592,37.7852071918
555,4100 Block of MISSION ST,DRUG/NARCOTIC,2013-08-30,Friday,TRANSPORTATION OF METH-AMPHETAMINE,130722611,"{u'latitude': u'37.7303819548591', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.429801668764'}",INGLESIDE,"ARREST, BOOKED",00:29,-122.429801669,37.7303819549
556,TAYLOR ST / TURK ST,OTHER OFFENSES,2007-08-25,Saturday,PROBATION VIOLATION,70869018,"{u'latitude': u'37.7832145190013', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.410768766343'}",TENDERLOIN,"ARREST, BOOKED",22:16,-122.410768766,37.783214519
557,GENEVA AV / PRAGUE ST,NON-CRIMINAL,2009-04-04,Saturday,"AIDED CASE, MENTAL DISTURBED",90354243,"{u'latitude': u'37.712767884821', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.431928011089'}",INGLESIDE,PSYCHOPATHIC CASE,22:39,-122.431928011,37.7127678848
558,100 Block of KISKA RD,VANDALISM,2005-08-01,Monday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",50922040,"{u'latitude': u'37.7304096808335', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.378494173975'}",BAYVIEW,NONE,12:00,-122.378494174,37.7304096808
559,3000 Block of CESAR CHAVEZ ST,OTHER OFFENSES,2005-06-24,Friday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",50707507,"{u'latitude': u'37.7484273645391', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.410099481127'}",MISSION,JUVENILE CITED,23:20,-122.410099481,37.7484273645
560,400 Block of GEARY ST,DRUG/NARCOTIC,2003-11-17,Monday,POSSESSION OF MARIJUANA,31348877,"{u'latitude': u'37.7870966495663', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.41072162587'}",CENTRAL,"ARREST, CITED",12:52,-122.410721626,37.7870966496
561,1700 Block of 29TH AV,LARCENY/THEFT,2004-02-15,Sunday,PETTY THEFT FROM A BUILDING,40185117,"{u'latitude': u'37.7546871389934', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.487179093939'}",TARAVAL,NONE,15:30,-122.487179094,37.754687139
562,ILLINOIS ST / 20TH ST,LARCENY/THEFT,2013-11-07,Thursday,GRAND THEFT FROM LOCKED AUTO,136211688,"{u'latitude': u'37.7605499565144', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.387571306252'}",BAYVIEW,NONE,17:00,-122.387571306,37.7605499565
563,800 Block of MARKET ST,LARCENY/THEFT,2007-05-05,Saturday,PETTY THEFT SHOPLIFTING,70460105,"{u'latitude': u'37.7850629421661', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406520987144'}",SOUTHERN,"ARREST, BOOKED",19:45,-122.406520987,37.7850629422
564,3300 Block of 22ND ST,SECONDARY CODES,2012-03-10,Saturday,DOMESTIC VIOLENCE,120198038,"{u'latitude': u'37.7553345088058', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.421236205585'}",MISSION,"ARREST, BOOKED",02:05,-122.421236206,37.7553345088
565,100 Block of COLLINGWOOD ST,DRUG/NARCOTIC,2006-10-01,Sunday,POSSESSION OF NARCOTICS PARAPHERNALIA,61048172,"{u'latitude': u'37.7600036963355', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.436102868825'}",MISSION,"ARREST, BOOKED",14:22,-122.436102869,37.7600036963
566,ELLIS ST / LARKIN ST,OTHER OFFENSES,2006-12-13,Wednesday,PROBATION VIOLATION,61319826,"{u'latitude': u'37.7842362877887', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.417710344726'}",TENDERLOIN,"ARREST, BOOKED",01:02,-122.417710345,37.7842362878
567,800 Block of BRYANT ST,SUSPICIOUS OCC,2003-05-18,Sunday,SUSPICIOUS OCCURRENCE,30650841,"{u'latitude': u'37.775420706711', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.403404791479'}",SOUTHERN,UNFOUNDED,07:31,-122.403404791,37.7754207067
568,1000 Block of FITZGERALD AV,ASSAULT,2014-08-01,Friday,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",140638274,"{u'latitude': u'37.7191956969734', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.388416108229'}",BAYVIEW,"ARREST, BOOKED",09:30,-122.388416108,37.719195697
569,200 Block of LEE AV,VEHICLE THEFT,2007-01-01,Monday,STOLEN TRUCK,70003551,"{u'latitude': u'37.722669340282', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.454180388918'}",TARAVAL,NONE,19:30,-122.454180389,37.7226693403
570,600 Block of MARKET ST,VANDALISM,2006-06-29,Thursday,"MALICIOUS MISCHIEF, BREAKING WINDOWS",60693485,"{u'latitude': u'37.7877867423496', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.403070886779'}",SOUTHERN,NONE,23:59,-122.403070887,37.7877867423
571,900 Block of POST ST,PROSTITUTION,2008-10-28,Tuesday,SOLICITS TO VISIT HOUSE OF PROSTITUTION,81156147,"{u'latitude': u'37.787277154617', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.416825199786'}",CENTRAL,"ARREST, CITED",22:26,-122.4168252,37.7872771546
572,0 Block of TURK ST,NON-CRIMINAL,2010-07-01,Thursday,"STAY AWAY OR COURT ORDER, NON-DV RELATED",100605592,"{u'latitude': u'37.7833862379382', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.409853729941'}",TENDERLOIN,"ARREST, BOOKED",18:25,-122.40985373,37.7833862379
573,600 Block of SANSOME ST,LARCENY/THEFT,2005-12-16,Friday,GRAND THEFT FROM LOCKED AUTO,51418808,"{u'latitude': u'37.7961898929293', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.4016980103'}",CENTRAL,NONE,22:00,-122.40169801,37.7961898929
574,1700 Block of NEWCOMB AV,WEAPON LAWS,2010-06-09,Wednesday,POSS OF PROHIBITED WEAPON,100533404,"{u'latitude': u'37.7368743139473', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.392563426886'}",BAYVIEW,"ARREST, BOOKED",11:08,-122.392563427,37.7368743139
575,POLK ST / IVY ST,LARCENY/THEFT,2011-12-26,Monday,GRAND THEFT FROM LOCKED AUTO,126004211,"{u'latitude': u'37.7779690806595', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.418140319493'}",NORTHERN,NONE,18:45,-122.418140319,37.7779690807
576,900 Block of MASON ST,LARCENY/THEFT,2014-12-15,Monday,GRAND THEFT OF PROPERTY,141055051,"{u'latitude': u'37.7923158747647', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.410845624227'}",CENTRAL,NONE,17:30,-122.410845624,37.7923158748
577,300 Block of HAIGHT ST,ASSAULT,2012-09-23,Sunday,BATTERY,120764059,"{u'latitude': u'37.7723641437277', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.427985093462'}",NORTHERN,NONE,15:00,-122.427985093,37.7723641437
578,0 Block of HARBOR RD,OTHER OFFENSES,2003-07-03,Thursday,RESISTING ARREST,30793479,"{u'latitude': u'37.7323312464378', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.378392257534'}",BAYVIEW,"ARREST, BOOKED",09:34,-122.378392258,37.7323312464
579,1400 Block of GOLDEN GATE AV,SUSPICIOUS OCC,2010-02-10,Wednesday,SUSPICIOUS OCCURRENCE,100137313,"{u'latitude': u'37.7793019548371', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.434445230029'}",PARK,NONE,18:02,-122.43444523,37.7793019548
580,1100 Block of MARKET ST,WARRANTS,2011-06-21,Tuesday,ENROUTE TO DEPARTMENT OF CORRECTIONS,110498058,"{u'latitude': u'37.779514030063', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.413564091744'}",SOUTHERN,"ARREST, BOOKED",10:00,-122.413564092,37.7795140301
581,800 Block of POTRERO AV,MISSING PERSON,2007-07-10,Tuesday,MISSING ADULT,70692568,"{u'latitude': u'37.7585641691709', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406725329529'}",MISSION,LOCATED,09:30,-122.40672533,37.7585641692
582,100 Block of GROVE ST,LARCENY/THEFT,2009-11-29,Sunday,GRAND THEFT BICYCLE,91224875,"{u'latitude': u'37.7784353333225', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.419085788323'}",NORTHERN,NONE,14:00,-122.419085788,37.7784353333
583,500 Block of POST ST,NON-CRIMINAL,2004-09-30,Thursday,FOUND PROPERTY,41122401,"{u'latitude': u'37.7880293922851', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.410904846406'}",CENTRAL,NONE,09:00,-122.410904846,37.7880293923
584,1700 Block of FILLMORE ST,FRAUD,2012-05-01,Tuesday,"CREDIT CARD, THEFT BY USE OF",120663564,"{u'latitude': u'37.7856184786671', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.433247635272'}",NORTHERN,COMPLAINANT REFUSES TO PROSECUTE,00:01,-122.433247635,37.7856184787
585,200 Block of 7TH ST,ASSAULT,2011-12-18,Sunday,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",111009555,"{u'latitude': u'37.7773110274033', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.40864873517'}",SOUTHERN,NONE,02:50,-122.408648735,37.7773110274
586,500 Block of GREENWICH ST,BURGLARY,2004-08-12,Thursday,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",40972732,"{u'latitude': u'37.8024386582318', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.408921933361'}",CENTRAL,NONE,07:00,-122.408921933,37.8024386582
587,STOCKTON ST / BEACH ST,SUSPICIOUS OCC,2006-01-15,Sunday,SUSPICIOUS OCCURRENCE,60057483,"{u'latitude': u'37.8078911906226', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.410690675854'}",CENTRAL,NONE,19:51,-122.410690676,37.8078911906
588,0 Block of DRUMM ST,LARCENY/THEFT,2009-10-08,Thursday,GRAND THEFT FROM LOCKED AUTO,96103694,"{u'latitude': u'37.7941447423704', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.396421943768'}",CENTRAL,NONE,20:30,-122.396421944,37.7941447424
589,0 Block of PUEBLO ST,ASSAULT,2012-06-10,Sunday,THREATS AGAINST LIFE,120456563,"{u'latitude': u'37.7087529100844', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.416949262737'}",INGLESIDE,"ARREST, BOOKED",00:40,-122.416949263,37.7087529101
590,0 Block of DORE ST,LARCENY/THEFT,2010-11-04,Thursday,GRAND THEFT FROM A BUILDING,101025618,"{u'latitude': u'37.7739274524819', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.412933062384'}",SOUTHERN,NONE,02:00,-122.412933062,37.7739274525
591,MASON ST / TURK ST,OTHER OFFENSES,2013-08-07,Wednesday,TRAFFIC VIOLATION ARREST,130651399,"{u'latitude': u'37.783287873572', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.408953598279'}",SOUTHERN,"ARREST, BOOKED",13:18,-122.408953598,37.7832878736
592,SUTTER ST / MONTGOMERY ST,LARCENY/THEFT,2011-05-01,Sunday,GRAND THEFT FROM LOCKED AUTO,116056498,"{u'latitude': u'37.7900391299667', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.402194030894'}",CENTRAL,NONE,05:30,-122.402194031,37.79003913
593,1400 Block of SILVER AV,SUSPICIOUS OCC,2009-12-23,Wednesday,SUSPICIOUS OCCURRENCE,100095965,"{u'latitude': u'37.7320159901391', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.40717609147'}",BAYVIEW,NONE,01:00,-122.407176091,37.7320159901
594,1400 Block of SUTTER ST,NON-CRIMINAL,2005-12-23,Friday,"AIDED CASE, MENTAL DISTURBED",51436446,"{u'latitude': u'37.7871785622736', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.424230101144'}",NORTHERN,PSYCHOPATHIC CASE,08:30,-122.424230101,37.7871785623
595,100 Block of STEUART ST,VEHICLE THEFT,2005-11-18,Friday,STOLEN TRUCK,51305017,"{u'latitude': u'37.7925676113693', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.392447899852'}",SOUTHERN,NONE,16:30,-122.3924479,37.7925676114
596,2000 Block of MISSION ST,DRUG/NARCOTIC,2003-04-07,Monday,POSSESSION OF BASE/ROCK COCAINE,30406575,"{u'latitude': u'37.7642205603745', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.41965834371'}",MISSION,"ARREST, BOOKED",08:48,-122.419658344,37.7642205604
597,800 Block of GUERRERO ST,NON-CRIMINAL,2003-12-12,Friday,"AIDED CASE, MENTAL DISTURBED",31448063,"{u'latitude': u'37.7571727207066', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.42325992746'}",MISSION,PSYCHOPATHIC CASE,22:12,-122.423259927,37.7571727207
598,2300 Block of BUCHANAN ST,NON-CRIMINAL,2007-01-04,Thursday,"DEATH REPORT, NATURAL CAUSES",70041567,"{u'latitude': u'37.7915687103002', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.431073169007'}",NORTHERN,EXCEPTIONAL CLEARANCE,16:06,-122.431073169,37.7915687103
599,SILVER AV / TOPEKA AV,LARCENY/THEFT,2012-06-21,Thursday,GRAND THEFT FROM LOCKED AUTO,126088992,"{u'latitude': u'37.7352610015261', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.400954433981'}",BAYVIEW,NONE,19:00,-122.400954434,37.7352610015
600,900 Block of GEARY ST,NON-CRIMINAL,2007-04-17,Tuesday,"AIDED CASE, MENTAL DISTURBED",70392934,"{u'latitude': u'37.7859407304209', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.418918390218'}",NORTHERN,PSYCHOPATHIC CASE,18:44,-122.41891839,37.7859407304
601,700 Block of FRONT ST,FORGERY/COUNTERFEITING,2006-04-16,Sunday,"CHECKS, MAKE OR PASS FICTITIOUS",60492083,"{u'latitude': u'37.7982679017862', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.39984969711'}",CENTRAL,NONE,00:01,-122.399849697,37.7982679018
602,400 Block of ELLIS ST,OTHER OFFENSES,2007-10-01,Monday,PROBATION VIOLATION,71007992,"{u'latitude': u'37.7848053746211', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.413631253258'}",TENDERLOIN,"ARREST, BOOKED",14:55,-122.413631253,37.7848053746
603,SHOTWELL ST / 19TH ST,WEAPON LAWS,2014-03-11,Tuesday,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,140206809,"{u'latitude': u'37.7604330003754', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.415929849548'}",MISSION,"ARREST, BOOKED",02:00,-122.41592985,37.7604330004
604,700 Block of KEARNY ST,VANDALISM,2004-04-06,Tuesday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",40393611,"{u'latitude': u'37.7951006528052', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.404847847867'}",CENTRAL,NONE,08:00,-122.404847848,37.7951006528
605,2500 Block of VALLEJO ST,BURGLARY,2004-11-17,Wednesday,"BURGLARY, UNLAWFUL ENTRY",41317016,"{u'latitude': u'37.7946461295063', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.439228639884'}",NORTHERN,NONE,07:45,-122.43922864,37.7946461295
606,300 Block of ELLIS ST,OTHER OFFENSES,2009-03-17,Tuesday,VIOLATION OF MUNICIPAL POLICE CODE,90279215,"{u'latitude': u'37.7850226622786', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.411987643595'}",TENDERLOIN,"ARREST, CITED",07:05,-122.411987644,37.7850226623
607,1700 Block of CALIFORNIA ST,LARCENY/THEFT,2009-10-10,Saturday,GRAND THEFT FROM A BUILDING,91047398,"{u'latitude': u'37.7902088255652', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.423156806774'}",NORTHERN,"ARREST, CITED",15:30,-122.423156807,37.7902088256
608,1000 Block of POLK ST,NON-CRIMINAL,2005-12-17,Saturday,LOST PROPERTY,51418911,"{u'latitude': u'37.7866019512795', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.419812186232'}",NORTHERN,NONE,23:45,-122.419812186,37.7866019513
609,SACRAMENTO ST / SCOTT ST,VEHICLE THEFT,2006-07-01,Saturday,STOLEN TRUCK,60700278,"{u'latitude': u'37.7892067223867', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.438963311203'}",RICHMOND,NONE,12:00,-122.438963311,37.7892067224
610,200 Block of BEACH ST,MISSING PERSON,2012-01-24,Tuesday,MISSING JUVENILE,120064116,"{u'latitude': u'37.8076387530515', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.413178958845'}",CENTRAL,"ARREST, BOOKED",01:30,-122.413178959,37.8076387531
611,BAY SHORE BL / CORTLAND AV,OTHER OFFENSES,2009-06-02,Tuesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",90569618,"{u'latitude': u'37.739566960911', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406979507963'}",BAYVIEW,"ARREST, CITED",22:25,-122.406979508,37.7395669609
612,3500 Block of 18TH ST,LARCENY/THEFT,2006-12-15,Friday,PETTY THEFT OF PROPERTY,61330866,"{u'latitude': u'37.7616929830038', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.422613974521'}",MISSION,NONE,20:02,-122.422613975,37.761692983
613,GEARY ST / LARKIN ST,PROSTITUTION,2007-10-07,Sunday,SOLICITS FOR ACT OF PROSTITUTION,71023954,"{u'latitude': u'37.7861007451645', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.418090766692'}",CENTRAL,"ARREST, CITED",23:45,-122.418090767,37.7861007452
614,3200 Block of 20TH AV,LARCENY/THEFT,2014-08-15,Friday,PETTY THEFT SHOPLIFTING,140684261,"{u'latitude': u'37.7285280627465', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.475647460786'}",TARAVAL,"ARREST, CITED",20:00,-122.475647461,37.7285280627
615,100 Block of PARKER AV,ASSAULT,2012-10-20,Saturday,THREATS AGAINST LIFE,120848493,"{u'latitude': u'37.7827803469912', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.454483056367'}",RICHMOND,NONE,13:00,-122.454483056,37.782780347
616,BUCHANAN ST / HAIGHT ST,VEHICLE THEFT,2005-04-15,Friday,"VEHICLE, RECOVERED, OTHER VEHICLE",50420680,"{u'latitude': u'37.7725259201572', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.42715986988'}",NORTHERN,NONE,19:45,-122.42715987,37.7725259202
617,2200 Block of POLK ST,LARCENY/THEFT,2012-11-16,Friday,GRAND THEFT OF PROPERTY,126183699,"{u'latitude': u'37.797126504747', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.422076812058'}",NORTHERN,NONE,11:30,-122.422076812,37.7971265047
